id,source,text,created_at
58,x,@mewnetz toner/essence: jumiso snail serum: trueve vit c avoskin marine collagen skin1004 poremizing moist: skintific skingame laroche posay sunscreen: loreal skin1004 amaterasun tergantung keadaan kulit sih ini..,Tue Jun 10 12:35:29 +0000 2025
59,x,@womanfeeds_id aku lagu cobain sunscreen amaterasun yg ijo tp belum buat review. mungkin bisa cobain ini nder,Tue Jun 10 07:19:32 +0000 2025
60,x,Cek AMATERASUN [REAL SPF Certified] [2 PCS] UV Body Sunscreen SPF 40 PA++ dengan harga Rp172.000. Dapatkan di Shopee sekarang! https://t.co/uGJoCvFas3,Tue Jun 10 01:50:36 +0000 2025
61,x,Cek AMATERASUN [REAL SPF Certified] [2 PCS] UV Body Sunscreen SPF 40 PA++ dengan harga Rp172.000. Dapatkan di Shopee sekarang! https://t.co/uGJoCvFas3 https://t.co/gLKzX3DLVU,Tue Jun 10 01:46:42 +0000 2025
62,x,Cek AMATERASUN [REAL SPF Certified] Physical Sunscreen Sensitive SPF 50+ PA++++ dengan harga Rp69.000. Dapatkan di Shopee sekarang! https://t.co/8CoX6uNcAq https://t.co/hLNYad72Px,Tue Jun 10 01:46:37 +0000 2025
63,x,Cek AMATERASUN [REAL SPF Certified] [2 PCS] Transparent Sunscreen Moisturizer SPF 43 PA+++ dengan harga Rp133.800. Dapatkan di Shopee sekarang! https://t.co/GYfav0OC08 https://t.co/nmOAe7x4Qq,Tue Jun 10 01:46:33 +0000 2025
64,x,promo lazada 2pcs amaterasun cuma 70ribu turun harga klaim voucher + potong koin Cek disini : 2 PCS Sunscreen Cream SPF50 https://t.co/lbI886Cei9 Sunscreen Serum SPF50 https://t.co/1QXFW9bfw3 Skin Tint https://t.co/egEBYnaKYG Physical Sunscreen https://t.co/itILL1pFIt https://t.co/mBRrEkKdU3,Tue Jun 10 00:07:06 +0000 2025
65,x,udah sekitar 1? tahun setia pake azarine hydrasoothe sunscreen gel tapi belakangan lagi pengen ganti ke amaterasun brightening sunscreen yang warnanya ungu itu,Mon Jun 09 10:52:29 +0000 2025
66,x,@urimaginagurl sunscreen amaterasun dan azarine nya masih baru kaa bisa co oren https://t.co/9S2pladuXO,Mon Jun 09 09:06:38 +0000 2025
67,x,Cek AMATERASUN [REAL SPF Certified] [2 PCS] UV Body Sunscreen SPF 40 PA++ dengan harga Rp172.660. Dapatkan di Shopee sekarang! https://t.co/TxMGotIaKf https://t.co/XDc2guPZFJ,Mon Jun 09 04:29:44 +0000 2025
68,x,Nyobain beli Sunscreen Amaterasun yg warna kuning oranye 40 gram itu agak lumayan susah diblend ke wajah teksturnya lebih pekat (sblumnya aku pake Emina skin buddy) terus pas dipake tuh kayak keabu-abuan krn warna krimnya ungu muda. Gamau beli lagi kayaknya,Mon Jun 09 03:44:51 +0000 2025
69,x,Cek AMATERASUN [REAL SPF Certified] Physical Sunscreen SPF 50+ PA++++ dengan harga Rp75.000. Dapatkan di Shopee sekarang! https://t.co/AnVKiSUr2B https://t.co/KHsGvGmF8X,Sun Jun 08 21:35:31 +0000 2025
70,x,8. Amaterasun Sunscreen Serum (240ml) https://t.co/x31HEycZ6F Kl kulit kalian normal to oily / very oily lagi cari chemical sunscreen yg sangat gampang diblend &amp; nyerepnya cepet ada oil control ga berasa sumuk matte ga berminyak / lengket try this. Kl lg promo cuan bgt https://t.co/RtPFgGnFyJ,Sun Jun 08 16:08:34 +0000 2025
71,x,Cek AMATERASUN [REAL SPF Certified] [2 PCS] UV Sunscreen Cream Normal SPF 50+ PA++++ dengan harga Rp95.000. Dapatkan di Shopee sekarang! https://t.co/ymjxJ02Xwn https://t.co/fYyOlyf6WN,Sun Jun 08 13:08:38 +0000 2025
72,x,Cek AMATERASUN [REAL SPF Certified] [2 PCS] Sunscreen Bundle Mix dengan harga Rp104.700. Dapatkan di Shopee sekarang! https://t.co/A03gAcnfts https://t.co/76AjxexpLl,Sun Jun 08 13:06:17 +0000 2025
73,x,Amaterasun ngeluarin sunscreen baru lagi! Amaterasun Brightening Sunscreen dg SPF 50 PA+++ Tekstur nya ringan dan warnanya ungu . Bikin kulit jadi cerah dan glowing gak bikin kulit jadi abu abu. Shopee : https://t.co/35WpgqVGgt Tiktok: https://t.co/9J2gCIZANr https://t.co/KNp3OpzhuL,Sun Jun 08 07:59:29 +0000 2025
74,x,Amaterasun hadir dengan varian extra brightening. Diformulasikan dengan empat brightening agent. sunscreen yang super girly yaitu warna tekstur nya soft lilac Bisa mencerahkan wajah. kalian wajib punya dan cobain Shopee: https://t.co/QshvSIDa9h https://t.co/PjMYrUUdBI,Sun Jun 08 07:54:46 +0000 2025
75,x,Cek AMATERASUN [REAL SPF Certified] UV Sunscreen Serum Combination &amp; Oily SPF 50+ PA++ dengan harga Rp69.000. Dapatkan di Shopee sekarang! https://t.co/EzCDOeTFCm https://t.co/MN34kenYbD,Sun Jun 08 05:08:30 +0000 2025
76,x,wtb tinted sunscreen!! tavi adaptint amaterasun dll #zonauang #zonajajan,Sun Jun 08 03:42:41 +0000 2025
77,x,Pakai sunscreen ?? Meski aktititas kita didalam ruangan pake sunscreen penting loh Nahh buat kalian yang tipkul sama kaya aku oily-kombinasi Aku pake sunscreen dari Amaterasun yang ijo yang spf 35?? https://t.co/lBnVpLHmXM,Sun Jun 08 00:17:01 +0000 2025
78,x,Sunscreen kita sama sama amaterasun,Sat Jun 07 12:58:22 +0000 2025
79,x,Buat kulit sensitif nih mending physical sunscreen punya amaterasun atau labore?,Sat Jun 07 12:19:08 +0000 2025
80,x,? Sunscreen GABOLEH NEGEO kalo ini harus dibawa! meskipun mendung. Kalau buat re-apply aku lebih suka amaterasun karena dia gel dan sangat bikin lembab sampe di tahap lebih lengket dari ss lainnya jadi pas re-apply aku bisa skip moist https://t.co/PGhDWIChus,Sat Jun 07 11:08:20 +0000 2025
81,x,Cek AMATERASUN [REAL SPF Certified] UV Sunscreen Serum SPF 50+ PA++ dengan harga Rp69.000. Dapatkan di Shopee sekarang! https://t.co/YiNsXoiswN https://t.co/RFgMn1FhSK,Sat Jun 07 10:34:38 +0000 2025
82,x,@ellenvalenhart Aku bukan ciwi tapi selama ini paling cocok pakai Somethinc sama Finally Found You. Toner Ffy Serum Smtnc Moisturizer Smtnc Sunscreen Amaterasun/Smtnc/Kahf.,Sat Jun 07 08:56:46 +0000 2025
83,x,@skinbrotha Salah satu Physical Sunscreen Andalan yang cocok untuk membuat wajahku yang kering ini. Selain amaterasun ini lumayan bagus sih nggak bikin white cast dan kulit masih terhidrasi dengan baik ya walaupun harganya masih belum terjangkau tapi gapapa ya https://t.co/nhtaz5nDQz,Sat Jun 07 08:09:47 +0000 2025
